,event,datetime,opponent,median_ticket_price,date,time
29,Opening Day: New York Mets at Washington Nationals,2019-03-28T13:05:00,New York Mets,211,2019-03-28,13:05
30,New York Mets at Washington Nationals,2019-03-30T13:05:00,New York Mets,74,2019-03-30,13:05
31,New York Mets at Washington Nationals,2019-03-31T13:35:00,New York Mets,69,2019-03-31,13:35
32,Philadelphia Phillies at Washington Nationals,2019-04-02T19:05:00,Philadelphia Phillies,168,2019-04-02,19:05
33,Philadelphia Phillies at Washington Nationals,2019-04-03T13:05:00,Philadelphia Phillies,126,2019-04-03,13:05
34,Opening Day: Washington Nationals at New York Mets,2019-04-04T13:10:00,New York Mets,162,2019-04-04,13:10
35,Washington Nationals at New York Mets,2019-04-06T13:10:00,New York Mets,81,2019-04-06,13:10
36,Washington Nationals at New York Mets,2019-04-07T13:10:00,New York Mets,83,2019-04-07,13:10
37,Washington Nationals at Philadelphia Phillies,2019-04-08T19:05:00,Philadelphia Phillies,77,2019-04-08,19:05
38,Washington Nationals at Philadelphia Phillies,2019-04-09T19:05:00,Philadelphia Phillies,75,2019-04-09,19:05
39,Washington Nationals at Philadelphia Phillies,2019-04-10T19:05:00,Philadelphia Phillies,78,2019-04-10,19:05
40,Pittsburgh Pirates at Washington Nationals,2019-04-12T19:05:00,Pittsburgh Pirates,82,2019-04-12,19:05
41,Pittsburgh Pirates at Washington Nationals,2019-04-13T16:05:00,Pittsburgh Pirates,94,2019-04-13,16:05
42,Pittsburgh Pirates at Washington Nationals,2019-04-14T13:35:00,Pittsburgh Pirates,80,2019-04-14,13:35
43,San Francisco Giants at Washington Nationals,2019-04-16T19:05:00,San Francisco Giants,99,2019-04-16,19:05
44,San Francisco Giants at Washington Nationals,2019-04-17T19:05:00,San Francisco Giants,84,2019-04-17,19:05
45,San Francisco Giants at Washington Nationals,2019-04-18T13:05:00,San Francisco Giants,96,2019-04-18,13:05
46,Washington Nationals at Miami Marlins,2019-04-19T19:10:00,Miami Marlins,86,2019-04-19,19:10
47,Washington Nationals at Miami Marlins,2019-04-20T18:10:00,Miami Marlins,82,2019-04-20,18:10
48,Washington Nationals at Miami Marlins,2019-04-21T13:10:00,Miami Marlins,77,2019-04-21,13:10
49,Washington Nationals at Colorado Rockies,2019-04-22T18:40:00,Colorado Rockies,45,2019-04-22,18:40
50,Washington Nationals at Colorado Rockies,2019-04-23T18:40:00,Colorado Rockies,44,2019-04-23,18:40
51,Washington Nationals at Colorado Rockies,2019-04-24T13:10:00,Colorado Rockies,45,2019-04-24,13:10
52,San Diego Padres at Washington Nationals,2019-04-26T19:05:00,San Diego Padres,86,2019-04-26,19:05
53,San Diego Padres at Washington Nationals,2019-04-27T16:05:00,San Diego Padres,95,2019-04-27,16:05
54,San Diego Padres at Washington Nationals,2019-04-28T13:35:00,San Diego Padres,83,2019-04-28,13:35
55,St. Louis Cardinals at Washington Nationals,2019-04-29T19:05:00,St. Louis Cardinals,55,2019-04-29,19:05
56,St. Louis Cardinals at Washington Nationals,2019-04-30T19:05:00,St. Louis Cardinals,51,2019-04-30,19:05
57,St. Louis Cardinals at Washington Nationals,2019-05-01T19:05:00,St. Louis Cardinals,52,2019-05-01,19:05
58,St. Louis Cardinals at Washington Nationals,2019-05-02T16:05:00,St. Louis Cardinals,54,2019-05-02,16:05
59,Washington Nationals at Philadelphia Phillies,2019-05-03T19:05:00,Philadelphia Phillies,93,2019-05-03,19:05
60,Washington Nationals at Philadelphia Phillies,2019-05-04T19:05:00,Philadelphia Phillies,107,2019-05-04,19:05
61,Washington Nationals at Philadelphia Phillies,2019-05-05T14:05:00,Philadelphia Phillies,95,2019-05-05,14:05
62,Washington Nationals at Milwaukee Brewers,2019-05-06T18:40:00,Milwaukee Brewers,51,2019-05-06,18:40
63,Washington Nationals at Milwaukee Brewers,2019-05-07T18:40:00,Milwaukee Brewers,54,2019-05-07,18:40
64,Washington Nationals at Milwaukee Brewers,2019-05-08T12:10:00,Milwaukee Brewers,67,2019-05-08,12:10
65,Washington Nationals at Los Angeles Dodgers,2019-05-09T19:10:00,Los Angeles Dodgers,101,2019-05-09,19:10
66,Washington Nationals at Los Angeles Dodgers,2019-05-10T19:10:00,Los Angeles Dodgers,94,2019-05-10,19:10
67,Washington Nationals at Los Angeles Dodgers,2019-05-11T18:10:00,Los Angeles Dodgers,113,2019-05-11,18:10
68,Washington Nationals at Los Angeles Dodgers,2019-05-12T13:10:00,Los Angeles Dodgers,111,2019-05-12,13:10
69,New York Mets at Washington Nationals,2019-05-14T19:05:00,New York Mets,62,2019-05-14,19:05
70,New York Mets at Washington Nationals,2019-05-15T19:05:00,New York Mets,82,2019-05-15,19:05
71,New York Mets at Washington Nationals,2019-05-16T13:05:00,New York Mets,63,2019-05-16,13:05
